year,race,sex,age,pop
1995,amind,Male,60-64,27432
1995,amind,Male,65-69,20956
1995,amind,Male,70-74,15003
1995,amind,Male,75-79,8497
1995,amind,Male,80-84,4765
1995,amind,Male,85+,3290
1995,asian,Female,0,75625
1995,asian,Female,1-4,301455
1995,asian,Female,10-14,357538
1995,asian,Female,15-19,330412
1995,asian,Female,20-24,415264
1995,asian,Female,25-29,446454
1995,asian,Female,30-34,459519
1995,asian,Female,35-39,435577
1995,asian,Female,40-44,392740
1995,asian,Female,45-49,311615
1995,asian,Female,5-9,327946
1995,asian,Female,50-54,222411
1995,asian,Female,55-59,173494
1995,asian,Female,60-64,154117
1995,asian,Female,65-69,132693
1995,asian,Female,70-74,97268
1995,asian,Female,75-79,60301
1995,asian,Female,80-84,33384
1995,asian,Female,85+,23977
1995,asian,Male,0,80051
1995,asian,Male,1-4,318072
1995,asian,Male,10-14,370147
1995,asian,Male,15-19,346971
1995,asian,Male,20-24,432152
1995,asian,Male,25-29,418947
1995,asian,Male,30-34,435583
1995,asian,Male,35-39,404564
1995,asian,Male,40-44,346065
1995,asian,Male,45-49,273424
1995,asian,Male,5-9,345314
1995,asian,Male,50-54,202894
1995,asian,Male,55-59,154893
1995,asian,Male,60-64,120810
1995,asian,Male,65-69,97013
1995,asian,Male,70-74,78213
1995,asian,Male,75-79,46950
1995,asian,Male,80-84,27114
1995,asian,Male,85+,17064
1995,black,Female,0,304285
1995,black,Female,1-4,1296190
1995,black,Female,10-14,1445863
1995,black,Female,15-19,1369387
1995,black,Female,20-24,1384092
1995,black,Female,25-29,1402370
1995,black,Female,30-34,1525942
1995,black,Female,35-39,1466232
1995,black,Female,40-44,1241965
1995,black,Female,45-49,950757
1995,black,Female,5-9,1519209
1995,black,Female,50-54,746753
1995,black,Female,55-59,621422
1995,black,Female,60-64,557471
1995,black,Female,65-69,512818
1995,black,Female,70-74,418065
1995,black,Female,75-79,315712
1995,black,Female,80-84,216334
1995,black,Female,85+,192250
1995,black,Male,0,311916
1995,black,Male,1-4,1331603
1995,black,Male,10-14,1484466
1995,black,Male,15-19,1399176
1995,black,Male,20-24,1324916
1995,black,Male,25-29,1272422
1995,black,Male,30-34,1353052
1995,black,Male,35-39,1288294
1995,black,Male,40-44,1069369
1995,black,Male,45-49,804170
1995,black,Male,5-9,1562683
1995,black,Male,50-54,620865
1995,black,Male,55-59,496223
1995,black,Male,60-64,431647
1995,black,Male,65-69,379632
1995,black,Male,70-74,274157
1995,black,Male,75-79,185469
1995,black,Male,80-84,106617
1995,black,Male,85+,75187
1995,latino,Female,0,290278
1995,latino,Female,1-4,1111863
1995,latino,Female,10-14,1096224
1995,latino,Female,15-19,1047065
1995,latino,Female,20-24,1074844
1995,latino,Female,25-29,1134300
1995,latino,Female,30-34,1124519
